Number of function evaluations: 126
              x           y(x)      dy/dx(x)
              0              2             -4
            0.1        1.63747       -3.27493
            0.2        1.34065        -2.6813
            0.3        1.09763       -2.19527
            0.4       0.898669       -1.79734
            0.5        0.73577       -1.47154
            0.6         0.6024        -1.2048
            0.7       0.493205       -0.98641
            0.8       0.403803      -0.807606
            0.9       0.330607      -0.661214
              1       0.270679      -0.541358
            1.1       0.221614      -0.443228
            1.2       0.181443      -0.362886
            1.3       0.148553      -0.297106
            1.4       0.121625      -0.243251
            1.5      0.0995788      -0.199158
            1.6      0.0815285      -0.163057
            1.7      0.0667501        -0.1335
            1.8      0.0546505      -0.109301
            1.9      0.0447442     -0.0894884
              2      0.0366336     -0.0732672
            2.1      0.0299931     -0.0599863
            2.2      0.0245564     -0.0491128
            2.3      0.0201051     -0.0402103
            2.4      0.0164607     -0.0329215
            2.5       0.013477     -0.0269539
Number of function evaluations: 126
              x           y(x)      dy/dx(x)
              0              2             -4
            0.1        1.63747       -3.27493
            0.2        1.34065        -2.6813
            0.3        1.09763       -2.19527
            0.4       0.898669       -1.79734
            0.5        0.73577       -1.47154
            0.6         0.6024        -1.2048
            0.7       0.493205       -0.98641
            0.8       0.403803      -0.807606
            0.9       0.330607      -0.661214
              1       0.270679      -0.541358
            1.1       0.221614      -0.443228
            1.2       0.181443      -0.362886
            1.3       0.148553      -0.297106
            1.4       0.121625      -0.243251
            1.5      0.0995788      -0.199158
            1.6      0.0815285      -0.163057
            1.7      0.0667501        -0.1335
            1.8      0.0546505      -0.109301
            1.9      0.0447442     -0.0894884
              2      0.0366336     -0.0732672
            2.1      0.0299931     -0.0599863
            2.2      0.0245564     -0.0491128
            2.3      0.0201051     -0.0402103
            2.4      0.0164607     -0.0329215
            2.5       0.013477     -0.0269539
Number of function evaluations: 126
              x           y(x)      dy/dx(x)
              0              2             -4
            0.1        1.63747       -3.27493
            0.2        1.34065        -2.6813
            0.3        1.09763       -2.19527
            0.4       0.898669       -1.79734
            0.5        0.73577       -1.47154
            0.6         0.6024        -1.2048
            0.7       0.493205       -0.98641
            0.8       0.403803      -0.807606
            0.9       0.330607      -0.661214
              1       0.270679      -0.541358
            1.1       0.221614      -0.443228
            1.2       0.181443      -0.362886
            1.3       0.148553      -0.297106
            1.4       0.121625      -0.243251
            1.5      0.0995788      -0.199158
            1.6      0.0815285      -0.163057
            1.7      0.0667501        -0.1335
            1.8      0.0546505      -0.109301
            1.9      0.0447442     -0.0894884
              2      0.0366336     -0.0732672
            2.1      0.0299931     -0.0599863
            2.2      0.0245564     -0.0491128
            2.3      0.0201051     -0.0402103
            2.4      0.0164607     -0.0329215
            2.5       0.013477     -0.0269539
Number of function evaluations: 126
              x           y(x)      dy/dx(x)
              0              2             -4
            0.1        1.63747       -3.27493
            0.2        1.34065        -2.6813
            0.3        1.09763       -2.19527
            0.4       0.898669       -1.79734
            0.5        0.73577       -1.47154
            0.6         0.6024        -1.2048
            0.7       0.493205       -0.98641
            0.8       0.403803      -0.807606
            0.9       0.330607      -0.661214
              1       0.270679      -0.541358
            1.1       0.221614      -0.443228
            1.2       0.181443      -0.362886
            1.3       0.148553      -0.297106
            1.4       0.121625      -0.243251
            1.5      0.0995788      -0.199158
            1.6      0.0815285      -0.163057
            1.7      0.0667501        -0.1335
            1.8      0.0546505      -0.109301
            1.9      0.0447442     -0.0894884
              2      0.0366336     -0.0732672
            2.1      0.0299931     -0.0599863
            2.2      0.0245564     -0.0491128
            2.3      0.0201051     -0.0402103
            2.4      0.0164607     -0.0329215
            2.5       0.013477     -0.0269539
Number of function evaluations: 126
              x           y(x)      dy/dx(x)
              0              2             -4
            0.1        1.63747       -3.27493
            0.2        1.34065        -2.6813
            0.3        1.09763       -2.19527
            0.4       0.898669       -1.79734
            0.5        0.73577       -1.47154
            0.6         0.6024        -1.2048
            0.7       0.493205       -0.98641
            0.8       0.403803      -0.807606
            0.9       0.330607      -0.661214
              1       0.270679      -0.541358
            1.1       0.221614      -0.443228
            1.2       0.181443      -0.362886
            1.3       0.148553      -0.297106
            1.4       0.121625      -0.243251
            1.5      0.0995788      -0.199158
            1.6      0.0815285      -0.163057
            1.7      0.0667501        -0.1335
            1.8      0.0546505      -0.109301
            1.9      0.0447442     -0.0894884
              2      0.0366336     -0.0732672
            2.1      0.0299931     -0.0599863
            2.2      0.0245564     -0.0491128
            2.3      0.0201051     -0.0402103
            2.4      0.0164607     -0.0329215
            2.5       0.013477     -0.0269539
